P	Q
0	2.0066
0	1.8288
0	1.6764
0	1.5494
0	1.3716
1	1.2954
0	1.1938
13.2	1.1684
2	1.4732
5.8	1.2954
29	2.2606
1.8	6.4262
0	3.9624
0	2.8702
0	2.3368
0	1.9812
0.5	1.7526
3.6	1.6002
1.5	1.3716
0	1.143
0	1.016
0	0.9906
4.6	0.9652
0	0.9398
0	0.889
3	0.889
0	0.8382
0	0.8382
0	0.8128
0	0.8128
0	0.7874
0	0.762
0	0.762
0	0.7366
0	0.7112
0	0.7112
32.3	0.6858
19.8	0.6604
16.5	0.6604
49.5	7.747
77.7	45.0342
30.5	28.9306
40.6	35.433
12.7	18.1102
0	11.6586
7.9	7.493
0	5.3848
0	4.1656
0	3.3782
0	2.8448
0	2.4638
0	2.159
6.4	2.0066
0	1.778
0.5	1.651
0	1.5748
30	1.5748
66.5	23.749
7.4	17.6022
1.3	9.144
7.6	6.0452
0.3	4.9022
0	4.0386
0	3.2766
18.5	2.9718
10.4	4.1402
0	4.191
10.7	3.6322
3.3	3.4036
9.9	3.3528
0	3.4036
0	2.9972
0	2.6924
0	2.3876
0	2.1336
0	2.0066
0	1.8288
2.5	1.6002
11.9	1.6002
0.5	1.6002
0	1.4732
12.7	1.5494
13.2	1.7018
8.6	2.159
0	2.4638
0.5	2.2098
3.3	2.413
0.3	2.5908
0	2.3876
0	2.1844
11.9	2.032
0	1.778
0	1.651
3	1.5748
15.7	1.8542
23.1	2.6416
42.4	6.985
46.5	20.4978
9.4	13.4874
2.3	7.0104
1.3	4.8006
25.4	4.953
5.3	10.8458
27.2	12.3952
13	15.1892
5.8	9.906
11.9	6.1976
9.9	6.1976
5.8	5.9182
0	4.7498
3.8	3.7592
4.1	3.2004
16.8	2.9718
18.5	3.7592
15.5	3.7338
6.6	3.9878
14.7	6.0452
10.9	9.8044
1.5	7.0612
1.5	4.6482
0	4.064
0	4.7498
0	5.5118
0	4.4704
0.5	3.937
0	3.3782
0	2.921
1.5	2.6924
3.6	2.4384
28.7	2.413
41.7	10.7696
0.8	13.716
4.8	7.8994
36.8	8.636
35.3	20.8026
6.1	16.256
4.6	10.3632
0	6.2738
4.1	4.3688
2.3	3.5306
0	2.9718
0	2.6162
0	2.286
0	2.032
0	1.8034
0	1.6764
0	1.6002
0	1.4732
0	1.3716
1.8	1.27
4.6	1.2446
0	1.143
0	1.0414
0	0.9652
0	0.889
0	0.889
0	0.8636
0	0.8636
0	0.8382
0	0.7874
0	0.762
7.1	0.7874
0.8	0.7874
8.9	0.7112
3.8	0.7874
0	0.8128
0	0.7112
0	0.6604
2.5	0.6604
0	0.6604
0	0.635
0	0.6096
0	0.5842
0	0.5588
0	0.5334
0	0.5334
0	0.5334
0	0.5334
0	0.5334
2	0.5334
30.7	0.6858
6.4	1.5494
3.8	0.9652
3	0.8382
0.5	0.762
0	0.7366
1	0.7112
7.4	0.7112
3.6	0.7366
0	0.7366
0	0.6604
0	0.6604
0.5	0.635
0	0.6096
0	0.6096
13.2	0.6858
4.8	0.6858
0.8	0.6604
1.3	0.6096
1.5	0.5842
0	0.5842
0	0.5842
0	0.5588
0	0.5588
0	0.5588
0	0.5334
0	0.508
0	0.508
0	0.4826
0	0.4826
0	0.4572
3.6	0.4572
8.6	0.4572
1.3	0.508
0	0.4572
0	0.4572
0	0.4572
0	0.4572
0	0.4572
0	0.4318
0	0.4318
0	0.4318
0	0.4318
0	0.4318
